epoch,mean_reward,policy_loss,value_loss,lam
1,18.0,-3.685211658477783,14.754377365112305,0.8
2,11.0,-3.108569860458374,10.792130470275879,0.8
3,18.0,-3.6274800300598145,14.404529571533203,0.8
4,11.0,-2.952415704727173,10.369389533996582,0.8
5,11.0,-2.8746330738067627,9.849730491638184,0.8
6,33.0,-4.002998352050781,17.266765594482422,0.8
7,77.0,-4.341230869293213,19.399051666259766,0.8
8,12.0,-2.8447580337524414,10.070592880249023,0.8
9,27.0,-3.722696304321289,15.632073402404785,0.8
10,26.0,-3.5652499198913574,15.100104331970215,0.8
11,30.0,-3.6261603832244873,15.316689491271973,0.8
12,12.0,-2.535256862640381,9.435395240783691,0.8
13,22.0,-3.248020887374878,12.849505424499512,0.8
14,22.0,-3.1841604709625244,13.110422134399414,0.8
15,39.0,-3.5962955951690674,15.733019828796387,0.8
16,24.0,-3.0947115421295166,12.930829048156738,0.8
17,29.0,-3.1441292762756348,12.604451179504395,0.8
18,18.0,-2.3933537006378174,11.408111572265625,0.8
19,26.0,-2.967257022857666,12.80300235748291,0.8
20,15.0,-1.7342593669891357,9.664080619812012,0.8
21,13.0,-1.5827120542526245,8.082594871520996,0.8
22,13.0,-1.2365458011627197,9.745452880859375,0.8
23,35.0,-3.108506202697754,16.175296783447266,0.8
24,31.0,-2.7511096000671387,12.467936515808105,0.8
25,21.0,-2.0045924186706543,13.0906982421875,0.8
26,18.0,-1.6518535614013672,10.414718627929688,0.8
27,10.0,-0.20495577156543732,17.16623306274414,0.8
28,35.0,-3.055762767791748,16.057701110839844,0.8
29,18.0,-1.6741591691970825,11.41915512084961,0.8
30,53.0,-3.1039299964904785,14.55340576171875,0.8
31,46.0,-2.6756339073181152,12.773333549499512,0.8
32,49.0,-2.5814731121063232,15.559947967529297,0.8
33,11.0,0.2258709818124771,14.31319522857666,0.8
34,13.0,-0.8283910155296326,12.309309005737305,0.8
35,18.0,-1.567305088043213,11.494437217712402,0.8
36,13.0,-0.5850251317024231,19.97610855102539,0.8
37,86.0,-3.6380228996276855,18.402692794799805,0.8
38,27.0,-1.870914340019226,14.517685890197754,0.8
39,21.0,-1.3775087594985962,14.642267227172852,0.8
40,75.0,-3.112551212310791,14.867090225219727,0.8
41,25.0,-1.3602524995803833,14.428640365600586,0.8
42,33.0,-1.9980264902114868,14.64379596710205,0.8
43,34.0,-2.026021718978882,14.247332572937012,0.8
44,55.0,-2.435880661010742,13.589788436889648,0.8
45,17.0,-0.08932186663150787,16.34232521057129,0.8
46,41.0,-2.3126959800720215,15.432628631591797,0.8
47,50.0,-2.275394916534424,11.97038459777832,0.8
48,32.0,-1.3621883392333984,13.098735809326172,0.8
49,47.0,-1.891704797744751,16.35224723815918,0.8
50,52.0,-1.849351167678833,15.90903091430664,0.8
