epoch,mean_reward,policy_loss,value_loss,lam
1,11.0,-3.3008973598480225,11.575263023376465,0.8
2,45.0,-4.352452754974365,19.517539978027344,0.8
3,21.0,-3.914754867553711,16.027732849121094,0.8
4,68.0,-4.454488277435303,20.416786193847656,0.8
5,10.0,-3.0035452842712402,10.345682144165039,0.8
6,10.0,-3.003321409225464,10.273909568786621,0.8
7,17.0,-3.5770211219787598,14.445929527282715,0.8
8,12.0,-3.074328660964966,11.342747688293457,0.8
9,10.0,-2.796334743499756,9.883783340454102,0.8
10,15.0,-3.2601866722106934,13.033858299255371,0.8
11,12.0,-2.8155508041381836,10.947510719299316,0.8
12,15.0,-3.1668853759765625,13.217832565307617,0.8
13,21.0,-3.503701686859131,14.30347728729248,0.8
14,12.0,-2.5775797367095947,11.77424144744873,0.8
15,21.0,-3.3888258934020996,15.355002403259277,0.8
16,12.0,-2.446702003479004,11.375319480895996,0.8
17,11.0,-2.1553022861480713,9.248007774353027,0.8
18,15.0,-2.740490198135376,12.586243629455566,0.8
19,13.0,-2.395596504211426,9.711869239807129,0.8
20,13.0,-2.4048912525177,12.318699836730957,0.8
21,13.0,-2.2476766109466553,9.61754035949707,0.8
22,16.0,-2.5190343856811523,9.449650764465332,0.8
23,8.0,-0.9817104935646057,7.351603031158447,0.8
24,9.0,-1.5062463283538818,7.388410568237305,0.8
25,10.0,-1.749253273010254,7.320040702819824,0.8
26,16.0,-2.421229600906372,9.990641593933105,0.8
27,15.0,-2.155449390411377,9.168917655944824,0.8
28,11.0,-1.5790317058563232,7.744788646697998,0.8
29,15.0,-2.2428395748138428,9.842318534851074,0.8
30,27.0,-3.069493532180786,12.692952156066895,0.8
31,10.0,-1.109802007675171,4.825767993927002,0.8
32,30.0,-3.0827951431274414,12.420238494873047,0.8
33,14.0,-1.5984690189361572,5.6945905685424805,0.8
34,13.0,-1.395406723022461,6.10252571105957,0.8
35,10.0,-1.0317070484161377,3.0585081577301025,0.8
36,15.0,-1.823325514793396,6.557623863220215,0.8
37,30.0,-2.533278465270996,8.701116561889648,0.8
38,31.0,-2.4088633060455322,12.927555084228516,0.8
39,11.0,-0.5017483234405518,2.5761911869049072,0.8
40,18.0,-1.7500722408294678,8.719426155090332,0.8
41,24.0,-2.0203778743743896,9.476941108703613,0.8
42,10.0,-0.4344966411590576,1.3118550777435303,0.8
43,11.0,-0.7868351340293884,3.0240023136138916,0.8
44,17.0,-1.6171503067016602,4.431216239929199,0.8
45,25.0,-2.1311604976654053,6.432676792144775,0.8
46,17.0,-1.1665995121002197,6.038318157196045,0.8
47,34.0,-2.2918009757995605,17.542739868164062,0.8
48,43.0,-2.2927634716033936,9.726227760314941,0.8
49,15.0,-0.3523642122745514,9.127297401428223,0.8
50,21.0,-1.2875932455062866,7.062397480010986,0.8
