epoch,mean_reward,policy_loss,value_loss,lam
1,18.0,-5.499729633331299,34.07542419433594,0.9
2,26.0,-6.3620076179504395,45.01304626464844,0.9
3,14.0,-4.67656946182251,25.826480865478516,0.9
4,70.0,-7.982700824737549,67.2203140258789,0.9
5,23.0,-5.956775188446045,40.07386779785156,0.9
6,26.0,-6.202521324157715,43.512874603271484,0.9
7,36.0,-6.835326671600342,52.382625579833984,0.9
8,23.0,-5.8343186378479,38.86477279663086,0.9
9,27.0,-6.190924167633057,43.52066421508789,0.9
10,20.0,-5.312117099761963,33.34621810913086,0.9
11,16.0,-4.613043785095215,26.464231491088867,0.9
12,34.0,-6.52385139465332,48.562469482421875,0.9
13,12.0,-3.577486991882324,16.415624618530273,0.9
14,25.0,-5.577147006988525,37.00174331665039,0.9
15,13.0,-3.3916196823120117,18.144248962402344,0.9
16,22.0,-5.0166449546813965,34.612300872802734,0.9
17,18.0,-4.124689102172852,24.736549377441406,0.9
18,18.0,-4.415740966796875,26.047130584716797,0.9
19,15.0,-3.2707083225250244,22.567655563354492,0.9
20,37.0,-6.20673942565918,45.46561050415039,0.9
21,27.0,-5.032361030578613,35.819374084472656,0.9
22,86.0,-7.223682403564453,58.518795013427734,0.9
23,32.0,-5.148924827575684,39.268035888671875,0.9
24,21.0,-3.5086512565612793,30.10990333557129,0.9
25,33.0,-5.033386707305908,39.86403274536133,0.9
26,14.0,-1.4339958429336548,17.583494186401367,0.9
27,29.0,-4.414755344390869,34.093814849853516,0.9
28,19.0,-2.522730827331543,27.338455200195312,0.9
29,53.0,-5.918592929840088,49.787872314453125,0.9
30,36.0,-4.5380072593688965,36.70527648925781,0.9
31,27.0,-3.178126811981201,27.86277961730957,0.9
32,23.0,-2.3342459201812744,29.41554832458496,0.9
33,18.0,-1.2775722742080688,24.025474548339844,0.9
34,83.0,-6.2811970710754395,50.68350601196289,0.9
35,19.0,-0.9821786284446716,19.715633392333984,0.9
36,21.0,-1.6501432657241821,30.711048126220703,0.9
37,18.0,-0.9159930348396301,21.73146629333496,0.9
38,15.0,-0.26195234060287476,25.741552352905273,0.9
39,35.0,-4.1927008628845215,36.173892974853516,0.9
40,24.0,-2.2677905559539795,28.097816467285156,0.9
41,12.0,1.038560390472412,19.788827896118164,0.9
42,22.0,-1.9477028846740723,24.103853225708008,0.9
43,20.0,-1.729966163635254,22.718690872192383,0.9
44,18.0,-1.181847095489502,19.415048599243164,0.9
45,41.0,-4.394811153411865,35.429420471191406,0.9
46,49.0,-4.6205925941467285,39.80083465576172,0.9
47,26.0,-2.051539897918701,25.250741958618164,0.9
48,33.0,-3.026287078857422,31.249755859375,0.9
49,40.0,-3.5616867542266846,33.68572235107422,0.9
50,47.0,-3.8031580448150635,39.61371994018555,0.9
