epoch,mean_reward,policy_loss,value_loss,lam
1,18.0,-8.50932788848877,89.56129455566406,0.99
2,26.0,-11.403196334838867,162.595458984375,0.99
3,14.0,-6.602880954742432,55.92477035522461,0.99
4,70.0,-23.32044219970703,655.60546875,0.99
5,23.0,-10.060440063476562,128.28366088867188,0.99
6,26.0,-11.081696510314941,156.01809692382812,0.99
7,36.0,-14.271255493164062,258.5731506347656,0.99
8,23.0,-9.878625869750977,124.49439239501953,0.99
9,27.0,-11.265423774719238,161.26541137695312,0.99
10,20.0,-8.511612892150879,93.93758392333984,0.99
11,16.0,-6.776340484619141,61.48028564453125,0.99
12,27.0,-10.95639419555664,155.08445739746094,0.99
13,34.0,-13.233256340026855,220.93125915527344,0.99
14,27.0,-10.6348876953125,148.24652099609375,0.99
15,64.0,-20.862010955810547,541.0725708007812,0.99
16,16.0,-5.833446502685547,48.796714782714844,0.99
17,25.0,-9.194149017333984,117.77086639404297,0.99
18,75.0,-22.536460876464844,635.572998046875,0.99
19,19.0,-6.04669189453125,61.043487548828125,0.99
20,42.0,-13.935521125793457,264.6534118652344,0.99
21,23.0,-6.979182243347168,79.9019775390625,0.99
22,21.0,-5.882190704345703,63.58679962158203,0.99
23,29.0,-8.634692192077637,125.3239974975586,0.99
24,33.0,-9.858148574829102,149.67123413085938,0.99
25,20.0,-4.322810649871826,52.902748107910156,0.99
26,39.0,-11.481812477111816,207.1855010986328,0.99
27,24.0,-5.434215545654297,74.80158233642578,0.99
28,33.0,-8.539628028869629,129.9481964111328,0.99
29,25.0,-5.376824378967285,72.86563873291016,0.99
30,29.0,-6.462063789367676,90.6140365600586,0.99
31,137.0,-28.149520874023438,986.8365478515625,0.99
32,78.0,-18.502887725830078,482.75311279296875,0.99
33,96.0,-21.530385971069336,628.128662109375,0.99
34,89.0,-18.650432586669922,525.6568603515625,0.99
35,44.0,-7.719316005706787,159.63258361816406,0.99
36,98.0,-19.61233901977539,567.0922241210938,0.99
37,135.0,-23.81178092956543,784.3134765625,0.99
38,107.0,-18.56805992126465,562.6922607421875,0.99
39,113.0,-18.475160598754883,543.9503784179688,0.99
40,67.0,-8.939075469970703,241.77398681640625,0.99
41,77.0,-11.126663208007812,307.55535888671875,0.99
42,48.0,-2.6165175437927246,137.1837158203125,0.99
43,254.0,-27.278648376464844,980.9484252929688,0.99
44,90.0,-11.355324745178223,350.46240234375,0.99
45,264.0,-24.505599975585938,977.7085571289062,0.99
46,169.0,-16.938722610473633,717.8505249023438,0.99
47,125.0,-11.682924270629883,637.8670043945312,0.99
48,86.0,-5.516545295715332,357.7657165527344,0.99
49,100.0,-8.36046314239502,399.4809875488281,0.99
50,134.0,-13.9435453414917,487.6036071777344,0.99
