epoch,mean_reward,policy_loss,value_loss,lam
1,18.0,-6.7401123046875,54.978797912597656,0.95
2,11.0,-4.725414752960205,27.358293533325195,0.95
3,18.0,-6.653789043426514,53.84096145629883,0.95
4,11.0,-4.422203540802002,25.455263137817383,0.95
5,11.0,-4.323170185089111,24.161375045776367,0.95
6,33.0,-9.33273983001709,104.11499786376953,0.95
7,77.0,-12.982185363769531,184.99974060058594,0.95
8,12.0,-4.341283321380615,25.890043258666992,0.95
9,27.0,-7.968114852905273,79.50350189208984,0.95
10,26.0,-7.534710884094238,74.61196899414062,0.95
11,30.0,-8.164358139038086,85.86450958251953,0.95
12,13.0,-4.052425861358643,24.900827407836914,0.95
13,14.0,-4.245944499969482,27.595842361450195,0.95
14,25.0,-6.740626335144043,61.9944953918457,0.95
15,16.0,-4.559487342834473,32.35196304321289,0.95
16,10.0,-1.567676305770874,13.1210355758667,0.95
17,22.0,-5.99235200881958,51.40126037597656,0.95
18,43.0,-9.356371879577637,111.47628021240234,0.95
19,27.0,-6.426570415496826,64.67964935302734,0.95
20,48.0,-9.425477981567383,113.4369125366211,0.95
21,15.0,-2.1460835933685303,19.70807456970215,0.95
22,29.0,-6.016933917999268,67.27758026123047,0.95
23,9.0,0.47745227813720703,10.156779289245605,0.95
24,18.0,-3.2483065128326416,27.012672424316406,0.95
25,12.0,-0.8951456546783447,14.644570350646973,0.95
26,23.0,-4.351951599121094,40.88518142700195,0.95
27,11.0,-0.5639829039573669,9.726675987243652,0.95
28,23.0,-4.459704399108887,40.655635833740234,0.95
29,33.0,-6.151730060577393,67.03182983398438,0.95
30,27.0,-4.845137596130371,46.31398010253906,0.95
31,32.0,-5.37604284286499,64.46527862548828,0.95
32,17.0,-1.450150966644287,17.877500534057617,0.95
33,13.0,-0.20838111639022827,10.474822044372559,0.95
34,13.0,-0.5650805234909058,8.915510177612305,0.95
35,15.0,-1.2900663614273071,9.366548538208008,0.95
36,25.0,-3.2507901191711426,44.29652404785156,0.95
37,21.0,-1.9653276205062866,31.673812866210938,0.95
38,13.0,1.3317891359329224,22.139190673828125,0.95
39,17.0,-1.0948944091796875,29.1524658203125,0.95
40,18.0,-2.148101806640625,14.99432373046875,0.95
41,29.0,-4.668058395385742,43.240821838378906,0.95
42,10.0,0.13579349219799042,1.6456600427627563,0.95
43,53.0,-8.315967559814453,88.58868408203125,0.95
44,9.0,1.2268205881118774,3.139042377471924,0.95
45,20.0,-2.26350474357605,15.311731338500977,0.95
46,27.0,-3.497976779937744,35.76325607299805,0.95
47,54.0,-7.269961357116699,90.55379486083984,0.95
48,9.0,1.350449800491333,2.5494320392608643,0.95
49,59.0,-7.732728481292725,101.28986358642578,0.95
50,48.0,-5.665707111358643,68.4767074584961,0.95
